Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Carla Zambelli,ZambelliOficial,100043932348669,POLITICIAN,BR,"Deputada Federal SP, eleita melhor Deputada de 2019 e 2022, Gerente de Projetos, conservadora, casada",2011-12-25 19:19:47,1780725,2987509,2023-04-17 20:11:10 BRT,2023-04-17,20:11:10,Native Video,"9,408",7082,368,1802,91,16,4,5,6,34,owned,Yes,47829,50710,0,00:01:51,https://www.facebook.com/100043932348669/posts/777173330423738,"ATENÇÃO, PAIS PAULISTAS! O Secretário de Segurança Pública de SP, Guilherme Derrite tem mensagens importantes sobre o dia 20 de abril, com relação às escolas paulistas e denúncias. Parabéns ao amigo Capitão Guilherme Derrite, ao nosso governador Tarcísio Gomes de Freitas e às polícias de SP por trabalharem com tanto empenho para proteger nossos tesouros mais preciosos, nossas crianças",https://www.facebook.com/ZambelliOficial/videos/758346109132204/,,,,,,,,"9,408",-1.41
KKER-Estudos Na Russia,K.KambungoLDA,100080535553024,TRAVEL_COMPANY,PL,Somos uma instituição jurídica Angola com contratos com as universidades estatais da Rússia. KKER COM,2017-06-06 15:26:20,24873,25191,2023-03-28 15:35:57 BRT,2023-03-28,15:35:57,Photo,"6,686",5646,120,93,814,1,3,1,1,7,,-,0,0,0,N/A,https://www.facebook.com/100080535553024/posts/218920277469156,"A KKER, representada pelo Sr. Bernardo André, na qualidade de Director Geral, recebeu nas suas instalações a delegação do Ministério da Educação da Rússia, chefiada pelo Reitor da Universidade Socio-pedagógica de Volgograd doutor Korotkov Aleksander, decana da universidade de Volgograd doutora Inga Blinova e o Corpo Diplomático Russo Acreditado em Angola, representado pela primeira secretária do consulado russo em Angola, Doutora Ekaterina Ilina. A visita teve como objetivo a consolidação da cooperação entre a KKER e o Ministério da Educação da Rússia, no âmbito da expansão do sistema educacional russo no território Angolano; Do referido encontro, ficou acorado que o Ministério da Educação da Rússia fornecerá cursos técnicos profissionais gratuitos em Angola, para todos os angolanos que tenham no mínimo o primeiro ciclo concluído, isto é, à 9.ª classe; As aulas serão lecionadas em idioma russo, por docentes universitários russos, e para tal, os interessados serão submetidos a uma formação intensiva de língua e cultura russa, com duração de 6 a 8 meses, de modo a estarem habilitados para participarem do referido programa de formação técnica e profissional; Após o término do programa os estudantes terão direito a certificação de conclusão do curso técnico emitidos pelas universidades russa; Serão lecionados os seguintes cursos técnicos: ✓ Informática E ciência da computação ✓ Astra Linux. Administração de rede ✓ Segurança da informação ✓ Eletricidade ✓ Controle E automação ✓ Robótica ✓ Big DATA Analyst ✓ Sistemas e tecnologia da informação ✓ Aprendizagem de máquinas e redes neurais (em Python3) ✓ Software informático e sistemas automatizados ✓ Desenvolvimento de um sistema de informação para gestão de cidades inteligentes baseado em sistemas de electricidade ✓ Engenharia mecânica ✓ Matemática Aplicada ✓ Ecologia industrial e biotecnologia ✓ Turismo ✓ Jornalismo ✓ Técnicas e tecnologia de construção civil ✓ Segurança técnica e engenharia ambiental ✓ Gestão em sistemas técnicos ✓ Tecnologia Química ✓ Economia e gestão ✓ Energia eléctrica e térmica ✓ segurança de trabalho ✓ Engenharia ambiental ✓ Electrónica ✓ Engenharia de rádio e sistemas de comunicação ✓ Linguística e estudos literários etc… Para participar deste programa os interessados deverão se dirigir ao escritório da KKER para as inscrições, e deverão levar consigo uma cópia do bilhete de identidade, fotografia tipo passe e valores equivalentes a 25.000 kz(vinte cinco mil kz) As inscrições começam a partir do dia 30 de março E termina no dia 17 de abril. O curso de cultura e lingua russa dará início no dia 20 de abril do corrente ano. Para mais informações : Estamos localizados em Luanda , dentro do centro comercial nosso centro gamek no primeiro andar defronte ao banco BAI Contactos : +244924207391 +244942697332",https://www.facebook.com/photo.php?fbid=218920157469168&set=a.192991863395331&type=3,,,Photos from KKER-Estudos Na Russia's post,,,,,"6,686",43.14
Folha de Telêmaco,folhadetelemaco,111541787066685,MEDIA_NEWS_COMPANY,BR,"Notícias de Telêmaco Borba, Campos Gerais e Paraná! Jornalismo sério com credibilidade.
www.folhadetelemaco.info",2020-01-29 04:19:07,31553,52955,2023-04-09 23:07:11 BRT,2023-04-09,23:07:11,Photo,"3,394",295,828,1840,3,19,4,223,181,1,,-,0,0,0,N/A,https://www.facebook.com/111541787066685/posts/802672314620292,"#Urgente! Colégios de Castro recebem ameaças de ataque igual a de Blumenau Um perfil anônimo está aterrorizando os moradores da cidade de Castro nos Campos Gerais. A imagem afirma que os Colégios Nisgoski, Vespasiano ou Cavanis poderão ter um ataque igual ao de Blumenau, em Santa Catarina que vitimou 4 crianças. Segundo à imagem em anexo, não é possível saber se trata-se apenas de uma brincadeira de muito mau gosto ou de uma ameaça real, mas há uma afirmativa de que um integrante de um suposto jogo está na cidade de Castro, e esse tal integrante também tem ligação com o assassino de Blumenau. www.folhadetelemaco.info:=:https://www.folhadetelemaco.info/",https://www.facebook.com/folhadetelemaco/photos/a.111579097062954/802672291286961/?type=3,,"ATENÇÃO STAEAUNOAMINERMA RAAVISA EIAAAETARA VAMOSDESISTIRATE NSEGUIMO PEGOEMBLL EMBLUMENAI UM SSODESAFIQ,UMD OSNOSSOSESTÃOEM NOSSOS EM CASTRO PARANAJ CAVANI NISGOSKI LAPRA RAESCOLADIA2 QUE A NOSSA FELICIDADE CONTINUE DIA 20 20/04 04 ESTARÃO TODOS DE LUTO FOUHA DET OTAE H ETELÊMACO gfcomi DESTAQUE FOLHA NOTICIASE",,,,,,"3,394",23.9
A Três Lagoas que eu quero,atreslagoasqueuquero,100057690510270,NEWS_SITE,BR,A página tem carácter informativo e divulgação de pensamento livre.,2016-07-21 12:48:52,89245,93134,2023-04-10 11:04:29 BRT,2023-04-10,11:04:29,Photo,"2,974",332,1186,1038,1,32,1,228,150,6,,-,0,0,0,N/A,https://www.facebook.com/100057690510270/posts/655942133005465,"O pânico chegou em Três Lagoas! Uma publicação feita no dia de hoje, num perfil denominado ""massacre dia 20/04/2023"" no Instagram, está deixando muitas mães e pais apreensivos em Três Lagoas. Até o momento, recebi cerca de 6 pedidos para essa publicação, além de contatos via whatsapp me indagando notícias sobre o fato. A princípio não consegui encontrar o perfil na referida rede social, mas recebi a informação que a polícia já está trabalhando no caso. O que ainda não é o suficiente para trazer tranquilidade às mães e aos pais pela absurda ameaça feita por esse indivíduo. Óbvio que pode ser apenas ""trote"" com motivações desconhecidas, mas o que não podemos é contar com a sorte. Podemos contar sim, é com o trabalho bem feito das nossas forças policiais. Hoje à tarde, haverá uma reunião com as autoridades do município para informar do caso e sobre procedimentos que serão adotados.🙏🏼 Até o momento é isso que temos. Estamos confiantes na qualidade da nossa polícia para desembaraçar essa ação e trazer tranquilidade aos três-lagoenses.",https://www.facebook.com/photo.php?fbid=655942083005470&set=a.164745112125172&type=3,,"2 6 Publicações Seguidores NOVO 205 Seguindo massacre dia 20/04/2023 iremos fazer no período vespertino, alunos que estudam no periodo matutino não se pr. Ver tradução mais Seguir de volta Mensagem … ·…",Photos from A Três Lagoas que eu quero's post,,,,,"2,974",9.41
Rádio Caçanjurê,radiocacanjure,100063727981680,SONG,BR,Ouça através da Internet! - www.radiocacanjure.com.br,2012-06-06 11:37:44,58525,114957,2023-04-13 10:51:21 BRT,2023-04-13,10:51:21,Native Video,"2,114",1617,112,325,11,6,1,21,13,8,owned,Yes,68253,74464,0,00:04:49,https://www.facebook.com/100063727981680/posts/687824460018481,"Dois adolescentes de 14 anos foram apreendidos em Caçador sob suspeita de terem escrito no banheiro da instituição a frase: ataque dia 20 de abril. O ato foi descoberto pela direção e imediatamente um policial militar do Proerd que estava presente na escola realizou a apreensão dos adolescentes. Os dois infratores e testemunhas foram levados à delegacia. O Aspirante da Policial Militar, Gustavo Muller de Melo explica como foi a ocorrência e aproveita para pedir que os pais observem o comportamento dos filhos.",https://www.facebook.com/radiocacanjure/videos/604424071702609/,,,,,,,,"2,114",11.24
ge,ge.globo,22344895408,TOPIC_SPORTS_RECREATION,BR,ge,2007-12-17 17:31:36,8606922,9301099,2023-04-04 10:40:27 BRT,2023-04-04,10:40:27,Link,"1,968",1693,157,12,15,2,76,4,8,1,,-,0,0,0,N/A,https://www.facebook.com/22344895408/posts/10161412300615409,"Com ataque como prioridade, clube tem até dia 20 de abril para fechar mais contratações",http://glo.bo/40GyPNJ,https://ge.globo.com/futebol/times/vasco/noticia/2023/04/04/vasco-ganha-tempo-com-ampliacao-da-janela-e-busca-mais-reforcos-para-o-brasileirao.ghtml,,Vasco ganha tempo com ampliação da janela e busca mais reforços para o Brasileirão,"Com ataque como prioridade, clube tem até dia 20 de abril para fechar mais contratações",,,,"1,968",-1.04
Travessia Uma Novela de Glória Perez,,407039219731753,none,,,,135312,N/A,2023-04-10 13:44:51 BRT,2023-04-10,13:44:51,Photo,"1,756",1675,29,7,31,5,6,0,2,1,,-,0,0,0,N/A,https://www.facebook.com/groups/407039219731753/permalink/1712178042551191,"## Ari tem a vida arruinada após a polícia encontrar prova irrefutável de que ele roubou Guerra Em **Travessia**, **Ari (Chay Suede)** será desmascarado pela polícia, que encontrará prova inquestionável de que ele roubou **Guerra (Humberto Martins)**. Nos próximos capítulos, o arquiteto passará duas vezes pela cadeia, mas só na segunda ocasião é que, finalmente, a casa dele vai cair. Isso porque os agentes da lei encontrarão no apartamento do arquiteto as folhas em branco assinadas por Guerra, as quais ele vem usando para dar golpes no empresário. Na fase atual da novela das 21h da TV Globo, Ari está passando pelo seu pior momento. Ele confessou para Núbia (Drica Moraes) que, de fato, roubou as ações de Chiara (Jade Picon). A comerciante, então, resolveu voltar para Mandacaru, na intenção de vender a sua loja e ressarcir Guerra. Ari, por sua vez, está completamente perdido, sobretudo por figurar como o principal suspeito de ter sido o mandante do atentado contra o personagem de Humberto Martins. E a situação dele vai se complicar ainda mais, pois Guida e Cidália irão armar para que ele seja preso. As duas esconderão um revólver e ingredientes para fabricação de bombas na casa do arquiteto. Em seguida, a polícia encontrará esses materiais e prenderá o maranhense, que logo conseguirá deixar a cadeia. No entanto, ele voltará para prisão no capítulo de 20 de abril, graças a **Zezinho (Paulo Tiefenthaler)**. O mecânico vai acusar o arquiteto de ter sido o mandante da explosão do carro de Guerra. Ele mentirá para polícia após ter combinado com Moretti (Rodrigo Lombardi) de acusar Ari do crime, em troca de uma alta quantia em dinheiro. Com Ari na cadeia, a polícia irá vasculhar a casa e o apartamento do maranhense e, nesse último, acabará encontrando as folhas em branco assinadas por Guerra. Com isso, a máscara do golpista vai cair e ele ficará sem saída.",https://www.facebook.com/photo.php?fbid=10158732241925764&set=gm.1712178042551191&type=3,,,,,,,,"1,756",6.55
UP TV,uiliannews,100051751749424,JOURNALIST,BR,Canal de jornalismo 24 horas editado pelo radialista Uilian Pacheco com 18 anos de experiência.,2015-10-03 11:36:24,48873,58972,2023-04-12 21:36:48 BRT,2023-04-12,21:36:48,Photo,"1,678",996,348,201,5,10,1,113,3,1,,-,0,0,0,N/A,https://www.facebook.com/100051751749424/posts/764663281935390,"SÃO GABRIEL | Em comunicado enviado aos pais, Escola Perpétuo Socorro suspende as aulas presenciais A Escola Nossa Senhora do Perpétuo Socorro, emitiu um comunicado aos pais e responsáveis sobre o cancelamento das aulas presenciais de 14 a 20 de Abril , segundo a nota, por conta dos tempos de insegurança aumentada em nossas escolas, a escola já tomou várias medidas de segurança, as aulas no período serão no formato online.",https://www.facebook.com/photo.php?fbid=764663258602059&set=a.458139289254459&type=3,,,,,,,,"1,678",5.21
Correio do Imbé,correiodoimbe,100064332686016,MEDIA_NEWS_COMPANY,BR,"Notícias 24 horas do Litoral Norte do Rio Grande do Sul - Jornal online, Tv",2013-01-08 10:58:53,168288,235724,2023-04-11 18:01:44 BRT,2023-04-11,18:01:44,Photo,"1,631",721,277,346,4,66,0,52,159,6,,-,0,0,0,N/A,https://www.facebook.com/100064332686016/posts/603802731774144,"🚨 Suspeito de ameaças a creches e escolas é detido em Caxias do Sul Na tarde desta terça-feira (11), um jovem de 22 anos foi conduzido até à DPPA por equipes da força tática de Caxias do Sul. O suspeito vinha fazendo ameaças de atentados contra a vida de crianças e adolescentes através das redes sociais. O homem ameaçava escolas e creches dos bairros Rio Branco, Pioneiro, Fátima e Montes Claros. Segundo publicações feitas pelo mesmo em suas mídias sociais os atentados ocorreriam entre os dias 10 e 20 de abril. O mesmo confessou a autoria das postagens. Portal Leouve #portoalegre #osorio #imbe #tramandaí",https://www.facebook.com/photo.php?fbid=603802718440812&set=a.598981562256261&type=3,,,,,,,,"1,631",12.36
Blog do justiceiro,Justiceirostm,100044595966639,MEDIA_NEWS_COMPANY,BR,"FALAR DE ME É FACIL, SER COMO EU É DIFÍCIL!!!",2018-11-05 23:09:54,70649,123875,2023-04-10 23:30:06 BRT,2023-04-10,23:30:06,Photo,"1,276",753,250,59,4,6,3,192,7,2,,-,0,0,0,N/A,https://www.facebook.com/100044595966639/posts/774875140675678,"EM RELAÇÃO AS POSTAGENS QUE ESTÃO CIRCULANDO NAS REDES SOCIAIS, FUI INFORMADO QUE A POLÍCIA ESTÁ CHECANDO TODAS AS POSTAGENS, EM BREVE VÃO SE PRONUNCIAR SOBRE ESSA SITUAÇÃO.",https://www.facebook.com/photo.php?fbid=774875120675680&set=a.580893663407161&type=3,,Vixi.. 15:09 o pessoal do grupo da escola tava alando al 15 Em um massacre 15:09 Ai eu fui pesquisar.. 10 Dia 20 de Abril é de escolas be in dnsm 1im Em home cinco n Eles falaran. estão pensan ante Belém Monte A BLOG BLOG DO 15:10 Passou at Minha Burl 201 que rep auto OSTARAM ANHÃ VAI EM UMA ENTÃO ÃO HÃ A FLUSTICEIRO JUSTICEIRO ATENCÃO!!,,,,,,"1,276",3.66
