Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
SBT,SBT,100064405581075,TV_NETWORK,BR,Olá! Esta é a página oficial do SBT no Facebook.,2010-07-15 12:55:03,11747303,12791981,2023-01-08 23:46:18 BRT,2023-01-08,23:46:18,Link,409,121,212,13,3,2,54,1,2,1,,-,0,0,0,N/A,https://www.facebook.com/100064405581075/posts/635194805304033,"PF analisa redes sociais de envolvidos em atos de vandalismo no DF; ""Festa da Selma"" foi um dos termos usados (via SBT News)",https://www.sbtnews.com.br/noticia/politica/235661-protesto-foi-organizado-em-redes-e-com-uso-de-codigos?utm_medium=Social&utm_source=Facebook#Echobox=1673231334,https://www.sbtnews.com.br/noticia/politica/235661-protesto-foi-organizado-em-redes-e-com-uso-de-codigos,,Protesto foi organizado em redes e com uso de códigos,,,,,409,-1.04
Diário do Centro do Mundo,diariodocentrodomundo,1441803576032791,LOCAL,BR,Conectando pessoas em torno da ideia de um Brasil justo. www.diariodocentrodomundo.com.br,2013-12-18 15:18:41,347223,380370,2023-01-06 14:49:53 BRT,2023-01-06,14:49:53,Native Video,306,47,74,32,2,0,145,1,5,0,owned,Yes,2417,2517,0,00:01:01,https://www.facebook.com/1441803576032791/posts/3527314350815026,"""Festa da Selma"": com medo do Xandão, golpistas disfarçam convite pra manifestação em Brasília #DCM",https://www.facebook.com/diariodocentrodomundo/videos/463717509299920/,,,"""Festa da Selma"": com medo do Xandão, golpistas disfarçam convite pra manifestação em Brasília",,,,,306,-2.28
UOL Notícias,UOLNoticias,124493634232128,MEDIA_NEWS_COMPANY,BR,"As últimas notícias do Brasil e do mundo nas áreas de política, economia, cotidiano, ciência, tecnologia, educação e mais.",2010-05-07 20:53:31,5577712,6544017,2023-01-11 08:01:32 BRT,2023-01-11,08:01:32,Link,301,93,63,70,1,14,8,2,50,0,,-,0,0,0,N/A,https://www.facebook.com/124493634232128/posts/7723867000961382,"EXCLUSIVO: Bolsonaristas utilizaram o código ""festa da Selma"" para organizar a ida de grupos a Brasília e anunciaram ""brincadeiras"" como ""polícia e ladrão"" no local 👇 #Golpistas #Brasília",https://noticias.uol.com.br/politica/ultimas-noticias/2023/01/11/mapa-online-onibus-brasilia-ato-golpista-8-janeiro-preparacao-confronto.htm?utm_source=facebook&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,https://noticias.uol.com.br/politica/ultimas-noticias/2023/01/11/mapa-online-onibus-brasilia-ato-golpista-8-janeiro-preparacao-confronto.htm,,Preparação para ato golpista teve mapa online e previu confronto violento,"O mapa se chama ""Viagem para Praia"". Mas, em vez de pontos turísticos, estão listadas 43 cidades no Brasil onde se podia pegar ônibus para a ""festa da Selma"", com contatos dos organizadores dos transportes. A festa se refere aos atos de 8 de janeiro, q",,,,301,-5.8
Agência Pública,agenciapublica,228301373863551,NON_PROFIT,BR,A primeira Agência de Jornalismo Investigativo do Brasil,2011-06-12 02:03:44,207100,216200,2023-01-08 19:32:15 BRT,2023-01-08,19:32:15,Link,192,77,8,65,2,6,3,3,27,1,,-,0,0,0,N/A,https://www.facebook.com/228301373863551/posts/6515796478447311,"🚨 EXCLUSIVO. Chamadas para invasão do Planalto, Congresso e STF correram livremente em redes sociais, como o Twitter, dias antes da ação através do código ""Festa da Selma"".",https://apublica.org/sentinela/2023/01/bolsonaristas-usam-codigo-festa-da-selma-para-coordenar-invasao-em-brasilia/?utm_source=facebook&utm_medium=post&utm_campaign=invasao,https://apublica.org/sentinela/2023/01/bolsonaristas-usam-codigo-festa-da-selma-para-coordenar-invasao-em-brasilia/,,"Bolsonaristas usam código ""Festa da Selma"" para coordenar invasão em Brasília - Agência Pública","Termo alude a cumprimento militar; chamadas para invasão do Planalto, Congresso e STF correram em redes sociais",,,,192,2.63
Radio Radio,Radioradioweb,184746581560965,RADIO_STATION,IT,"Ufficio commerciale: +39 06 88330.30

Centralino RadioRadio: +39 06 88330.1 

Diretta: +39. 06.88.33.033 

SMS/Whatsapp: 3775.104.500

SOSTIENI L'INFORMAZIONE LIBERA: https://donazioni.radioradio.it/",2011-02-25 08:57:07,188593,324498,2023-01-09 08:12:00 BRT,2023-01-09,08:12:00,Link,170,113,38,10,3,1,2,2,0,1,,-,0,0,0,N/A,https://www.facebook.com/184746581560965/posts/5736406313061603,"🔴 In Brasile i sostenitori di 𝐉𝐚𝐢𝐫 𝐁𝐨𝐥𝐬𝐨𝐧𝐚𝐫𝐨 continuano a protestare, stavolta superando i confini delle sedi istituzionali a Brasilia. Il Presidente brasiliano 𝐋𝐮𝐥𝐚 definisce tramite conferenza stampa l’attacco come “𝙫𝙖𝙣𝙙𝙖𝙡𝙤 𝙚 𝙛𝙖𝙨𝙘𝙞𝙨𝙩𝙖” e schiera le forze federali fino al 31 gennaio https://www.radioradio.it/2023/01/festa-da-selma-brasile-rivolta-sostenitori-bolsonaro-social-parlamento/",https://www.radioradio.it/2023/01/festa-da-selma-brasile-rivolta-sostenitori-bolsonaro-social-parlamento/,,,"""Festa da Selma"", Brasile: la rivolta dei sostenitori di Bolsonaro dai social al Parlamento","In Brasile i sostenitori di Jair Bolsonaro continuano a protestare, stavolta superando i confini delle sedi istituzionali a Brasilia. Bolsonaro...",,,,170,-7.4
UOL Notícias,UOLNoticias,124493634232128,MEDIA_NEWS_COMPANY,BR,"As últimas notícias do Brasil e do mundo nas áreas de política, economia, cotidiano, ciência, tecnologia, educação e mais.",2010-05-07 20:53:31,5577679,6543514,2023-01-10 18:50:19 BRT,2023-01-10,18:50:19,Link,169,76,23,24,1,13,4,8,20,0,,-,0,0,0,N/A,https://www.facebook.com/124493634232128/posts/7721488404532575,Cientista monitora as redes de apoio ao ex-presidente 👇,https://noticias.uol.com.br/ultimas-noticias/bbc/2023/01/10/o-aumento-assustador-de-referencias-a-refinarias-de-petroleo-em-grupos-bolsonaristas.htm?utm_source=facebook&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,https://noticias.uol.com.br/ultimas-noticias/bbc/2023/01/10/o-aumento-assustador-de-referencias-a-refinarias-de-petroleo-em-grupos-bolsonaristas.htm,,Pesquisador vê aumento 'assustador' de menções a refinarias em grupos bolsonaristas,"Além de termos como ""caravana"" e ""festa da Selma"" (uma alusão disfarçada à saudação militar ""selva""), que circularam bastante em redes bolsonaristas antes da invasão a prédios públicos de Brasília no doming",,,,169,-10.34
Diário do Centro do Mundo,diariodocentrodomundo,1441803576032791,LOCAL,BR,Conectando pessoas em torno da ideia de um Brasil justo. www.diariodocentrodomundo.com.br,2013-12-18 15:18:41,347398,381100,2023-01-11 08:57:06 BRT,2023-01-11,08:57:06,Link,126,56,7,34,0,3,1,3,22,0,,-,0,0,0,N/A,https://www.facebook.com/1441803576032791/posts/3531135423766252,O código entre os bolsonaristas foi “festa da Selma”,https://www.diariodocentrodomundo.com.br/preparacao-de-ato-terrorista-em-brasilia-contou-com-mapa-online-e-linguagem-cifrada/,,,Preparação de ato terrorista em Brasília contou com mapa online e linguagem cifrada,"Simpatizantes do ex-presidente Jair Bolsonaro (PL) usaram um mapa online para organizar a invasão nas sedes dos Três Poderes em Brasília, do último domingo (8). No lugar de pontos turísticos, o mapa “Viagem para Praia” lista 43 cidades no Brasil onde sairiam os ônibus para a “festa da Se...",,,,126,-2.53
Agência Lupa,LupaNews,197377877264926,NEWS_SITE,BR,"🔎 Educação e jornalismo contra a desinformação
💬 Checagens, verificações, notícias, análises, reportagens e soluções",2015-11-24 15:55:27,191843,197415,2023-01-08 20:36:17 BRT,2023-01-08,20:36:17,Photo,114,48,12,32,0,0,0,2,20,0,,-,0,0,0,N/A,https://www.facebook.com/197377877264926/posts/1892896251046405,"""Festa da Selma"". Essa foi a expressão usada pelos vândalos que hoje atacaram diversos edifícios públicos de Brasília, ao convocar indivíduos para os atos anti-democráticos deste domingo (8). O termo aparece em mensagens disseminadas pelas redes sociais. Leia a cobertura completa em bit.ly/festadaselmavandalos:=:https://lupa.uol.com.br/jornalismo/2023/01/08/vandalos-festa-selma #AgênciaLupa #fakenews #desinformação #boatos #noticiasfalsas #brasília #planalto #invasão",https://www.facebook.com/LupaNews/photos/a.197634597239254/1892895887713108/?type=3,,Lupa H VENHAM TODOS PARA A FESTA DA IRMÃ SELMA!!! ΕΙΤΑ GLÓRIA!!! A BABILÔNIA ESTÁ RUINDO!!! SELVAAAAAAAAAAA! NÓS SOMOS A RESISTÊNCIA! INVASÃO EM BRASÍLIA VÂNDALOS FALAVAM DE 'FESTA DA SELMA' PARA CONVOCAR PARA ATAQUES,,,,,,114,-1.32
CBN,radiocbn,126023467444040,ACTIVITY_GENERAL,BR,"A CBN foi criada em 1991 e foi pioneira ao utilizar o formato all news no Brasil. Atualmente, a rádio conta com quatro emissoras próprias e 32 afiliadas.",2010-08-11 20:11:38,1005415,1231456,2023-01-09 07:39:50 BRT,2023-01-09,07:39:50,Link,102,31,57,5,0,1,2,1,4,1,,-,0,0,0,N/A,https://www.facebook.com/126023467444040/posts/6026066417439686,"Em grupos nas redes sociais, a convocação já trazia diretrizes para invasão ao Congresso, Palácio do Planalto e ao STF. Pedro Dória comenta o caso, destacando que os golpistas chamavam para uma 'Festa da Selma', em referência ao grito militar 'Selva'. Por isso, ele diz que 'se todo mundo sabia, como as autoridades não sabiam?'. #NoArNaCBN https://cbn.globoradio.globo.com/media/audio/397191/grupos-bolsonaristas-convocavam-para-invasao-aos-t.htm",https://cbn.globoradio.globo.com/media/audio/397191/grupos-bolsonaristas-convocavam-para-invasao-aos-t.htm,,,Grupos bolsonaristas convocavam para invasão aos três poderes desde a última semana,"Em grupos nas redes sociais, a convocação já trazia diretrizes para invasão ao Congresso, Palácio do Planalto e ao STF. Pedro Dória comenta o caso, destacando que os golpistas chamavam para uma 'Festa da Selma', em referência ao grito militar 'Selva'. Por isso, ele diz que 'se todo mundo sabi...",,,,102,-2.4
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1805653,2087286,2023-01-11 16:51:13 BRT,2023-01-11,16:51:13,Link,93,15,63,1,1,2,6,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/150808986387/posts/10161200168681388,Investigação de um portal brasileiro revelou parte das conversas entre apoiantes de Jair Bolsonaro dias antes da invasão em Brasília.,https://sicnoticias.pt/especiais/invasao-em-brasilia/2023-01-11-O-que-tem-a-festa-da-Selma-a-ver-com-a-invasao-em-Brasilia--064d5992,,,O que tem a “festa da Selma“ a ver com a invasão em Brasília?,,,,,93,-10.09
