"source","target","weight"
b_guarezi,SenadoFederal,1505
b_guarezi,rpsenador,1361
HildaDeSouzaMa1,geraldomiotto,1205
X0NGUINHAS,Prof_SergioDF,923
LeiaRachor,STF_oficial,918
Michella3,STF_oficial,841
HildaDeSouzaMa1,Gen_Ex_Freitas,761
EllenValle,STF_oficial,726
tonytattoo,YouTube,704
britopinho,STF_oficial,688
crisvela78,STF_oficial,680
fabdiniz,STF_oficial,667
CintiaKWY,STF_oficial,664
rosangela_bolze,STF_oficial,608
FLAVIAMAZZOCKY,STF_oficial,600
ejr281063,STF_oficial,599
FerAisNeg,STF_oficial,584
X0NGUINHAS,sergiobonoro_DF,572
ejr281063,Gen_VillasBoas,557
HildaDeSouzaMa1,exercitooficial,549
BR100PTRALHAS,exercitooficial,544
GledsonRibeiro7,jairbolsonaro,534
GledsonRibeiro7,exercitooficial,532
GledsonRibeiro7,SenadoFederal,532
GledsonRibeiro7,congemfoco,532
GledsonRibeiro7,policiafederal,532
GledsonRibeiro7,MPF_PGR,532
GledsonRibeiro7,STJnoticias,532
HildaDeSouzaMa1,nytimes,525
GabrielSklemper,STF_oficial,512
xandevolp,STF_oficial,504
amartins1960,STF_oficial,498
rafagrunje21,STF_oficial,495
fmaier50,STF_oficial,489
MarizMarcella,STF_oficial,465
X0NGUINHAS,ProfCris_DF,464
NilBur4,sikerajr,459
HildaDeSouzaMa1,Gen_VillasBoas,454
X0NGUINHAS,minibonoro_DF,452
NilBur4,MarceloCRedeTV,449
ejr281063,exercitooficial,448
N_Carvalheira,N_Carvalheira,436
frfontanella,STF_oficial,434
edson_carneiro,jairbolsonaro,417
LAYLATRANETTY,STF_oficial,415
FonteneleDenise,STF_oficial,413
Michella3,alexandre,385
zenda_simoes,STF_oficial,381
APaupitz,STF_oficial,376
mbethrg,STF_oficial,370
hoto_da,hoto_da,368
Hilma68946015,STF_oficial,356
X0NGUINHAS,AntiLeft_DF,351
ferebello,STF_oficial,349
ANNA_WYKY,STF_oficial,347
Francis52897447,STF_oficial,338
monteiro_marize,STF_oficial,335
claudiodemetri3,STF_oficial,333
ruisaldanha,exercitooficial,331
Ezequiasns,STF_oficial,329
ejr281063,geraldomiotto,328
sisbresolin,STF_oficial,324
RodMasilla,STF_oficial,319
magalinevesferr,STF_oficial,316
sloch3,YouTube,308
Irlandaemel,STF_oficial,304
GledsonRibeiro7,sargentoFAHUR,301
crisvela78,gilmarmendes,300
claudiodemetri3,CNJ_oficial,297
claudiodemetri3,AJUFE_oficial,297
claudiodemetri3,magistrados,297
katybalalves,STF_oficial,295
fabdiniz,SenadoFederal,295
juliooliveira70,STF_oficial,293
HildaDeSouzaMa1,gen_paulosergio,290
HildaDeSouzaMa1,MMucke,285
DalilaOliveiraR,STF_oficial,282
BeatrizTiza,STF_oficial,282
LucianaLimaMoro,STF_oficial,276
ruisaldanha,marmilbr,273
HildaDeSouzaMa1,Gen_Ramos_CMSE,268
raquelf83878815,STF_oficial,264
claudiodemetri3,BolsonaroSP,262
mariluciferraz,STF_oficial,260
ITrancredo,STF_oficial,260
claudiodemetri3,MagnoMalta,259
claudiodemetri3,anaamelialemos,259
RONERIASOUZA,STF_oficial,259
claudiodemetri3,SenadoFederal,258
claudiodemetri3,camaradeputados,258
claudiodemetri3,onyxlorenzoni,258
claudiodemetri3,planaIto,258
claudiodemetri3,trbrasil,258
claudiodemetri3,VemPraRua_br,257
Vivianerecife,STF_oficial,256
dalmyrjmb,STF_oficial,255
AndreaSant11,STF_oficial,253
claudiodemetri3,Francischini_,253
SEGUNDOJR,STF_oficial,252
claudiodemetri3,JoseMedeirosMT,252
xfischer,STF_oficial,252
CAETANO72,STF_oficial,251
wrmpb,STF_oficial,250
Irlandaemel,LRobertoBarroso,248
ejr281063,camaradeputados,247
fabdiniz,camaradeputados,247
caranovanocongr,STF_oficial,245
ejr281063,SenadoFederal,240
amartins1960,jairbolsonaro,240
HildaDeSouzaMa1,GenSantosCruz,240
ALYCIAKYARA,STF_oficial,239
colonezi,JanainaDoBrasil,236
HumbertoReisJr,HumbertoReisJr,235
FATIMAA80856038,jairbolsonaro,233
Marcusa60433153,STF_oficial,231
ejr281063,GenExTheophilo,230
ejr281063,gilmarmendes,230
GledsonRibeiro7,SargentoFAHUR,230
MariaSo92340189,STF_oficial,226
BeliniStela,SenadoFederal,225
mspontocom,joflcina5721,223
fjmacamargo,STF_oficial,223
CharlesS2S1,STF_oficial,222
crisvela78,SenadoFederal,221
frfontanella,exercitooficial,220
natalin92105056,jairbolsonaro,220
BeliniStela,jairbolsonaro,220
Marcia_Ctno,STF_oficial,218
Hederso11000770,jairbolsonaro,217
TRBJJ,STF_oficial,216
ximenmalhador,STF_oficial,214
silvakoetz,STF_oficial,211
ejr281063,Gen_Ex_Freitas,210
Tozello,STF_oficial,209
crisvela78,NossaCarmenInfo,208
LadyLaura32BP20,STF_oficial,208
marcelopanzetti,jdoriajr,208
AkinAssis,change_br,207
ZeldaTinker,STF_oficial,206
marcelohilari14,STF_oficial,206
Ezequiasns,SenadoFederal,205
WPinotti,STF_oficial,205
lelacohen,STF_oficial,204
deneolia,STF_oficial,204
Xand_Wisniewski,STF_oficial,203
LineuBlind,STF_oficial,203
JucileiBorges,STF_oficial,203
mspontocom,LCMor9,202
FATIMAA80856038,STF_oficial,202
nancyafc,STF_oficial,201
ErnaniUSouza,STF_oficial,201
BeatrizTiza,MPF_PGR,200
crisvela78,Alexandre,198
jmg_br,STF_oficial,196
danthomazaquino,danthomazaquino,194
marcelo_csi,STF_oficial,193
claudio_farias,STF_oficial,192
hanahmelo19,STF_oficial,191
BetoFontes,jairbolsonaro,191
crisvela78,LRobertoBarroso,190
BetoFontes,RejanePaiva,186
ITrancredo,rpsenador,186
MarizMarcella,SenadoFederal,185
levantebrasil,exercitooficial,184
RamosJPR_RN,STF_oficial,184
srdeiro,STF_oficial,184
getuliosantana,exercitooficial,183
HildaDeSouzaMa1,gen_villasboas,183
EdjaneJesus,STF_oficial,183
albuquerquecman,STF_oficial,182
Ezequiasns,ronaldocaiado,180
Ezequiasns,SimoneTebetms,179
b_guarezi,EduGiraoOficial,179
BeatrizTiza,TRF4_oficial,178
Ezequiasns,MagnoMalta,178
bossleite,STF_oficial,178
Rejane92232865,STF_oficial,176
BerroCoronel,STF_oficial,176
b_guarezi,FlavioBolsonaro,176
BetoFontes,MarleneFFL,174
farquardi,jairbolsonaro,173
ximenmalhador,exercitooficial,173
AgneloBorghi,STF_oficial,172
Irlandaemel,RodrigoMaia,172
b_guarezi,marcosdoval,172
b_guarezi,SenadorHeinze,172
rovanlavigne,STF_oficial,170
LucianaLimaMoro,MichelTemer,169
mspontocom,FNXConservadora,169
gcesar48,STF_oficial,168
valeriabrum33,STF_oficial,168
Ezequiasns,Senador_Ataides,167
AlanaMattos16,STF_oficial,167
Michella3,camaradeputados,167
marcotulio78,STF_oficial,166
ngelomarchioll1,revistaoeste,165
Rodrigo06177033,STF_oficial,165
LeiaRachor,SenadoFederal,164
Irlandaemel,camaradeputados,164
crisvela78,exercitooficial,163
ruisaldanha,portalfab,162
BetoFontes,Fasalles,162
xandevolp,gilmarmendes,161
aurora__9,STF_oficial,160
crisvela78,davialcolumbre,160
FDicro,STF_oficial,160
sredondo04,STF_oficial,160
AUSTRALIANO1980,STF_oficial,159
RitaOli36702816,STF_oficial,159
HildaDeSouzaMa1,portalfab,159
FerAisNeg,gilmarmendes,159
jonathas73,STF_oficial,158
nadia_patria,STF_oficial,158
SandraRicciar14,BrazilFight,158
fredvgs,STF_oficial,157
rosangela_bolze,gilmarmendes,156
crisvela78,MPF_PGR,156
VivianeCambui,STF_oficial,156
Emerdrigues,STF_oficial,155
Claudiarmo2,STF_oficial,155
PapaCorrupto,jairbolsonaro,155
Alvimar_JB,Estadao,154
republicanajc,STF_oficial,153
CAMPOSFN10,STF_oficial,153
albuca_gustavo,STF_oficial,151
FreitasGai,STF_oficial,151
ngelomarchioll1,leandroruschel,151
getuliosantana,jairbolsonaro,150
FabioGodinho8,STF_oficial,150
bmisoppo,STF_oficial,150
LAYLATRANETTY,NossaCarmenInfo,149
moacirpe2009,gen_heleno,149
azeredo_mg,STF_oficial,147
MaciMarcus,tercalivre,147
fjmacamargo,gilmarmendes,146
arquiteturaoral,STF_oficial,145
j_amaro,revistaoeste,145
RubemPortal,DamaresAlves,145
RubemPortal,tarcisiogdf,145
LeiaRachor,NossaCarmenInfo,144
NormaMa09099421,STF_oficial,144
AnaVela_,jairbolsonaro,144
PEC56URGENTE,STF_oficial,143
BrasilVero,STF_oficial,143
cristinaberto17,STF_oficial,143
Irlandaemel,alexandre,143
xandevolp,camaradeputados,143
romelfaustino,STF_oficial,142
ngelomarchioll1,taoquei1,142
Francis46481238,STF_oficial,142
crisvela78,alexandre,141
layla_bolsonaro,STF_oficial,140
ondejaciviu,cam_bolchevique,140
arnaldogb1,STF_oficial,140
MarquesSidneiTw,STF_oficial,140
bonnieximena,STF_oficial,139
frankrenaut,o_antagonista,139
McTom_BR,STF_oficial,139
RaphaellaNovaes,STF_oficial,139
VilmaFe44464577,jairbolsonaro,139
gigih1tag,STF_oficial,139
NinaLuz23695256,davialcolumbre,138
DeVilhena,jairbolsonaro,138
Iam_Rui_Silva,gugachacra,138
japonesvoador,majucoutinho,138
Jorge42931348,STF_oficial,137
raquelf83878815,gilmarmendes,137
lsmendonca51,STF_oficial,136
DayseBarela,STF_oficial,136
ViatorSagarana,STF_oficial,136
drw_spo,jairbolsonaro,136
GabrielSklemper,NossaCarmenInfo,135
DeGuam,YouTube,135
mspontocom,ForaStf,134
Marcos_AFSilva,SenadoFederal,134
raquelf83878815,alexandre,134
ejr281063,MichelTemer,133
ejr281063,GeneralGirao,133
PauloRo49195361,STF_oficial,132
MichiDornelles,STF_oficial,132
NavarroHeron,STF_oficial,132
Janaudis,o_antagonista,132
